Sample No.;1;2;3
1;3039;3011;3095
2;3041;3071;3049
3;3047;3089;3102
4;3074;3047;3019
5;3081;3109;3010
6;3018;3148;3030
7;3061;3093;3094
8;3075;3080;3074
9;3042;3067;3019
10;3083;3133;3057
11;3057;3119;3105
12;3086;3040;3021
13;3084;3040;3087
14;3122;3056;3033
15;3132;2987;3048
16;3096;3044;3126
17;3048;3103;3057
18;3067;3040;3108
19;3014;3004;3062
20;3089;3006;3038
21;3094;3066;3005
22;3031;3139;3106
23;3051;3086;3058
24;3086;3018;3104
25;3045;3026;3036
26;3039;2980;3034
27;3047;3030;3099
28;2961;3076;3015
29;3044;3053;3027
30;3051;2982;3137
31;3071;3046;3074
32;3101;3093;3007
33;3073;2998;3103
34;3096;3071;3040
35;3075;3085;3049
36;3046;3098;3046
37;3079;3030;3135
38;3032;3105;3111
39;3157;3079;3014
40;3073;3049;3056
41;3068;3041;3042
42;3059;3024;2970
43;3057;3109;3068
44;3003;3032;3046
45;3025;3051;3066
46;3046;3105;3074
47;3060;3133;3121
48;3108;3007;3108
49;3068;3105;3007
50;3037;3060;3074
51;3047;3056;3067
52;3008;3052;3004
53;3058;3059;3095
54;3075;3017;3043
55;3042;3133;3111
56;3042;3048;3041
57;3072;3020;3034
58;3031;2981;3053
59;3023;3105;3075
60;3043;3077;3085
61;3032;3073;3060
62;3094;2991;3080
63;3017;3046;3044
64;3070;3099;2970
65;3063;2970;3057
66;3073;3120;3086
67;3078;3075;3109
68;3062;3129;3002
69;3078;3113;3051
70;3046;3069;3079
71;3152;3073;3053
72;3035;3094;3127
